course,handedness,course_shape,circumference_f,run_in_y,course_character,undulation,uphill_finish,course_character_verified,undulation_verified,uphill_finish_verified,notes
Aintree,Left,Triangular,12,260,Galloping,Flat,No,false,false,false,"Mildmay course shown; Grand National course ~18f, run-in 494y"
Ascot,Right,Triangular,14,,Galloping,Undulating,Yes,false,false,true,Round course rises to the line
Ayr,Left,Oval,12,,Galloping,Flat,No,false,false,false,
Bangor-on-Dee,Left,Oval,9,,Sharp,Flat,No,false,false,false,No grandstand bend; flat sharp circuit
Bath,Left,Oval,12,,Galloping,Undulating,Yes,false,false,false,Highest course in GB; stiff uphill run-in
Beverley,Right,Oval,11,,Stiff,Undulating,Yes,false,false,false,Stiff uphill last 3f
Brighton,Left,Horseshoe,12,,Sharp,Undulating,No,false,false,false,"Switchback, Epsom-like"
Carlisle,Right,Pear,13,,Stiff,Undulating,Yes,false,false,false,Stiff uphill finish
Cartmel,Left,Oval,8,880,Sharp,Undulating,No,false,false,false,Longest run-in in GB (~4f)
Catterick,Left,Oval,10,,Sharp,Undulating,No,false,false,false,
Chelmsford (AW),Left,Oval,10,,Galloping,Flat,No,false,false,false,Polytrack; wide sweeping turns
Cheltenham,Left,Oval,12,,Galloping,Undulating,Yes,false,false,false,Old course ~12f / New ~13f; famous uphill finish
Chepstow,Left,Oval,16,,Galloping,Undulating,Yes,false,false,true,
Chester,Left,Round,8,,Sharp,Flat,No,false,false,false,"Smallest, near-circular, tightest turning track in GB"
Doncaster,Left,Pear,16,,Galloping,Flat,No,false,false,false,Plus straight mile
Epsom,Left,Horseshoe,12,,Galloping,Undulating,No,false,false,true,Severe camber/descent to Tattenham; ~flat finish
Exeter,Right,Oval,16,,Stiff,Undulating,Yes,false,false,false,One of the stiffest tracks
Fakenham,Left,Oval,8,,Sharp,Undulating,Yes,false,false,true,Tight square-ish circuit
Ffos Las,Left,Oval,12,,Galloping,Flat,No,false,false,false,Newest GB course (2009)
Fontwell,Figure-of-eight,Figure-of-eight,10,,Sharp,Undulating,No,false,false,false,Chase course is figure-of-eight; hurdles a left-handed oval
Goodwood,Right,Horseshoe,14,,Galloping,Undulating,No,false,false,true,Loop/horseshoe with downhill sections
Hamilton,Right,Oval,13,,Galloping,Undulating,Yes,false,false,false,Rises to the line; straight 6f
Haydock,Left,Oval,13,,Galloping,Flat,No,false,false,false,
Hereford,Right,Oval,12,,Galloping,Undulating,Yes,false,false,true,Square-ish circuit
Hexham,Left,Oval,12,,Stiff,Undulating,Yes,false,false,false,"Very undulating, stiff finish"
Huntingdon,Right,Oval,12,,Galloping,Flat,No,false,false,false,
Kelso,Left,Oval,13,,Galloping,Undulating,Yes,false,false,false,Stiff uphill run-in
Kempton,Right,Triangular,13,,Galloping,Flat,No,false,false,false,Jumps (turf) course
Kempton (AW),Right,Oval,10,,Sharp,Flat,No,false,false,false,Polytrack; inner & outer ovals
Leicester,Right,Oval,14,,Galloping,Undulating,Yes,false,false,false,Stiff finish
Lingfield,Left,Horseshoe,12,,Sharp,Undulating,No,false,false,false,Turf course (switchback)
Lingfield (AW),Left,Oval,10,,Sharp,Flat,No,false,false,false,Polytrack
Ludlow,Right,Oval,12,,Galloping,Flat,No,false,false,false,
Market Rasen,Right,Oval,10,,Sharp,Undulating,No,false,false,false,
Musselburgh,Right,Oval,10,,Sharp,Flat,No,false,false,false,
Newbury,Left,Oval,14,,Galloping,Flat,No,false,false,true,Fair galloping test
Newcastle,Left,Oval,14,,Galloping,Undulating,Yes,false,false,false,Turf (jumps); uphill finish
Newcastle (AW),Left,Oval,14,,Galloping,Flat,No,false,false,false,Tapeta; straight mile + round
Newmarket,Right,Oval,18,,Galloping,Undulating,Yes,false,false,false,"Rowley Mile; broad galloping straights, The Dip then rise to line"
Newmarket (July),Right,Oval,16,,Galloping,Undulating,Yes,false,false,false,July course; dip and rise to the line
Newton Abbot,Left,Oval,9,,Sharp,Flat,No,false,false,false,Very sharp
Nottingham,Left,Oval,12,,Galloping,Flat,No,false,false,false,
Perth,Right,Oval,10,,Galloping,Flat,No,false,false,false,
Plumpton,Left,Oval,9,,Sharp,Undulating,Yes,false,false,false,"Tight, stiff uphill finish"
Pontefract,Left,Oval,16,,Galloping,Undulating,Yes,false,false,true,"Undulating, stiff uphill finish (one of the stiffest)"
Redcar,Left,Oval,14,,Galloping,Flat,No,false,false,false,
Ripon,Right,Oval,13,,Sharp,Undulating,No,false,false,false,
Salisbury,Right,Oval,12,,Galloping,Undulating,Yes,false,false,false,Straight mile + loop; stiff last half-mile
Sandown,Right,Oval,13,,Galloping,Undulating,Yes,false,false,true,Famous uphill finish; separate uphill straight 5f
Sedgefield,Left,Oval,10,,Sharp,Undulating,No,false,false,false,
Southwell,Left,Oval,10,,Sharp,Flat,No,false,false,false,Turf course
Southwell (AW),Left,Oval,10,,Sharp,Flat,No,false,false,false,Fibresand/Tapeta; tight
Stratford,Left,Oval,10,,Sharp,Flat,No,false,false,false,
Taunton,Right,Oval,12,,Galloping,Flat,No,false,false,false,
Thirsk,Left,Oval,10,,Sharp,Flat,No,false,false,false,
Towcester,Right,Oval,14,,Stiff,Undulating,Yes,false,false,true,One of the stiffest uphill finishes; very few rows in data
Uttoxeter,Left,Oval,12,,Galloping,Undulating,No,false,false,true,
